,shot_id,url
4996,17570,s3://mast/level1/shots/17570.zarr
4997,17571,s3://mast/level1/shots/17571.zarr
4998,17572,s3://mast/level1/shots/17572.zarr
4999,17573,s3://mast/level1/shots/17573.zarr
5000,17575,s3://mast/level1/shots/17575.zarr
5001,17576,s3://mast/level1/shots/17576.zarr
5002,17577,s3://mast/level1/shots/17577.zarr
5003,17578,s3://mast/level1/shots/17578.zarr
5004,17579,s3://mast/level1/shots/17579.zarr
5005,17580,s3://mast/level1/shots/17580.zarr
5006,17581,s3://mast/level1/shots/17581.zarr
5007,17677,s3://mast/level1/shots/17677.zarr
5008,17582,s3://mast/level1/shots/17582.zarr
5009,17583,s3://mast/level1/shots/17583.zarr
5010,17585,s3://mast/level1/shots/17585.zarr
5011,17586,s3://mast/level1/shots/17586.zarr
5012,17588,s3://mast/level1/shots/17588.zarr
5013,17589,s3://mast/level1/shots/17589.zarr
5014,17590,s3://mast/level1/shots/17590.zarr
5015,17591,s3://mast/level1/shots/17591.zarr
5016,17592,s3://mast/level1/shots/17592.zarr
5017,17593,s3://mast/level1/shots/17593.zarr
5018,17594,s3://mast/level1/shots/17594.zarr
5019,17595,s3://mast/level1/shots/17595.zarr
5020,17596,s3://mast/level1/shots/17596.zarr
5021,17597,s3://mast/level1/shots/17597.zarr
5022,17598,s3://mast/level1/shots/17598.zarr
5023,17599,s3://mast/level1/shots/17599.zarr
5024,17600,s3://mast/level1/shots/17600.zarr
5025,17601,s3://mast/level1/shots/17601.zarr
5026,17602,s3://mast/level1/shots/17602.zarr
5027,17603,s3://mast/level1/shots/17603.zarr
5028,17604,s3://mast/level1/shots/17604.zarr
5029,17605,s3://mast/level1/shots/17605.zarr
5030,17606,s3://mast/level1/shots/17606.zarr
5031,17607,s3://mast/level1/shots/17607.zarr
5032,17608,s3://mast/level1/shots/17608.zarr
5033,17609,s3://mast/level1/shots/17609.zarr
5034,17610,s3://mast/level1/shots/17610.zarr
5035,17611,s3://mast/level1/shots/17611.zarr
5036,17614,s3://mast/level1/shots/17614.zarr
5037,17615,s3://mast/level1/shots/17615.zarr
5038,17616,s3://mast/level1/shots/17616.zarr
5039,17617,s3://mast/level1/shots/17617.zarr
5040,17618,s3://mast/level1/shots/17618.zarr
5041,17619,s3://mast/level1/shots/17619.zarr
5042,17620,s3://mast/level1/shots/17620.zarr
5043,17621,s3://mast/level1/shots/17621.zarr
5044,17622,s3://mast/level1/shots/17622.zarr
5045,17623,s3://mast/level1/shots/17623.zarr
5046,17624,s3://mast/level1/shots/17624.zarr
5047,17625,s3://mast/level1/shots/17625.zarr
5048,17626,s3://mast/level1/shots/17626.zarr
5049,17627,s3://mast/level1/shots/17627.zarr
5050,17628,s3://mast/level1/shots/17628.zarr
5051,17629,s3://mast/level1/shots/17629.zarr
5052,17630,s3://mast/level1/shots/17630.zarr
5053,17631,s3://mast/level1/shots/17631.zarr
5054,17632,s3://mast/level1/shots/17632.zarr
5055,17633,s3://mast/level1/shots/17633.zarr
5056,17634,s3://mast/level1/shots/17634.zarr
5057,17635,s3://mast/level1/shots/17635.zarr
5058,17636,s3://mast/level1/shots/17636.zarr
5059,17637,s3://mast/level1/shots/17637.zarr
5060,17638,s3://mast/level1/shots/17638.zarr
5061,17639,s3://mast/level1/shots/17639.zarr
5062,17641,s3://mast/level1/shots/17641.zarr
5063,17642,s3://mast/level1/shots/17642.zarr
5064,17643,s3://mast/level1/shots/17643.zarr
5065,17644,s3://mast/level1/shots/17644.zarr
5066,17645,s3://mast/level1/shots/17645.zarr
5067,17646,s3://mast/level1/shots/17646.zarr
5068,17647,s3://mast/level1/shots/17647.zarr
5069,17648,s3://mast/level1/shots/17648.zarr
